state_name,state_abbr,long_name,fips,region_name,division_name,population,Sstart,CHR_pre,CHR_post,CFR_pre,CFR_post,caseavertpercapnc,caseavertpercapplus,caseavertpercapminus,totcasepercap_post,maybevax,vaxrate,deathavertpercapnc,deathavertpercapplus,deathavertpercapminus,hospavertpercapnc,hospavertpercapplus,hospavertpercapminus,Rtstart
Alabama,AL,Alabama AL,1,South,East South Central,4854887,0.688770315956962,0.116452612860246,0.114252899628582,0.0140669379498873,0.0273962220095799,1725.69413047101,3831.05724190903,-310.872323083936,4676.23654268369,1783161.53571428,0.367292078211972,24.2752322538204,53.8912445044006,-4.37302167915904,200.96159049094,446.136625837476,-36.201894289059,1.5
Alaska,AK,Alaska AK,2,West,Pacific,733462,0.809895947406775,0.0376435868796688,0.0341191050879869,0.00496367418459048,0.00629275605567348,4071.51290728081,6963.27826117781,725.736302630538,3063.28071529268,344024.214285714,0.469041633084896,20.2096635100967,34.5634445451284,3.60231855018734,153.266349856918,262.122770191956,27.3193175598023,1.1
Arizona,AZ,Arizona AZ,4,West,Mountain,7159038,0.691951122879905,0.10064124246059,0.0770221485287207,0.0189766252663166,0.0196942522228808,6389.41293508988,6735.02501313724,3268.16955015464,6495.50260803197,3438866.96428571,0.480353221240858,121.249494940957,127.808045833575,62.0188288600713,643.038456381208,677.82128532528,328.912644099429,1.6
Arkansas,AR,Arkansas AR,5,South,West South Central,2993229,0.712806969371148,0.0950862533839542,0.0780910177217827,0.0210091128456808,0.0159794557991757,1922.82314517199,3929.21824558027,-217.574398751315,5022.80313333861,1213647.10714286,0.405464168342234,40.3968084392051,82.5493895167039,-4.57104509569753,182.834048794355,373.614641700102,-20.688334409529,1.5
California,CA,California CA,6,West,Pacific,39519922,0.767751330000313,0.0809244592194037,0.0624396423975763,0.012841458758097,0.0170605156323426,1377.74057347583,3472.13362415037,-597.49611853991,5475.74967379743,22860949,0.578466450414554,17.6921987536468,44.5872607371289,-7.6727217643533,111.492910853163,280.980535871877,-48.352050278535,1.5
Colorado,CO,Colorado CO,8,West,Mountain,5668738,0.762835035134156,0.0653459987094877,0.0628418079318264,0.0103731091450621,0.00815759589726531,3771.53609851082,7562.52979058125,-697.527386166021,4320.80297237233,3194006.92857143,0.563442326770337,39.1225555943945,78.4469469304833,-7.23552770837004,246.454793026074,494.181061935785,-45.5806236762372,0.9
Connecticut,CT,Connecticut CT,9,Northeast,New England,3566810,0.757954792251879,0.074861398519371,0.0803792324437151,0.0145794371839278,0.0130106814394891,3653.96530793622,7451.04168710977,-785.533852377895,5024.89619576036,2346715.92857143,0.657931296752961,53.2727576793074,108.631994232044,-11.4526414565923,273.54095309337,557.795401123171,-58.8061627733184,0.9
Delaware,DE,Delaware DE,10,South,South Atlantic,963194,0.728221355664161,0.0847491827757375,0.0678539941648564,0.0140718955567214,0.00939235432591367,3430.09819413327,6017.37552351863,-594.740000456814,6460.84797039849,547354.035714285,0.568269772978533,48.2679835371421,84.675879892526,-8.36911916983273,290.698018793328,509.967658072929,-50.4037290027567,1.1
District of Columbia,DC,Washington DC,11,,,702083,0.766393016455555,0.172870817311626,0.148546913351072,0.0140309253047533,0.0148711919641936,269.198940865966,2770.04285818059,-1590.19660068681,3396.25087062356,445306.285714286,0.634264446958958,3.77711023140908,38.8662644340972,-22.3119297241093,46.5366409269235,478.859572881909,-274.898586046898,1
Florida,FL,Florida FL,12,South,South Atlantic,21229420,0.717774558710466,0.0964815457862042,0.0887848401660148,0.019298644141408,0.0131188016376911,2342.27312851694,4773.61133747413,-823.705970299707,5402.05526104811,10862024.3928571,0.511649606671173,45.2026955892307,92.1242264713038,-15.8964083979672,225.986132092802,460.565400822054,-79.4724252878409,1.5
Georgia,GA,Georgia GA,13,South,South Atlantic,10443993,0.74612120826433,0.14208089109651,0.106323081963676,0.0184656960322479,0.0183268038621439,1380.09954621762,3685.83644205813,-865.258144083398,5367.57828160168,4306839.35714286,0.412374783968436,25.4844987146978,68.0615353636275,-15.977593878071,196.085773328488,523.686926123607,-122.936648139881,1.5
Hawaii,HI,Hawaii HI,15,West,Pacific,1419286,0.932042755562509,0.164174849275095,0.0672116257947321,0.0111817335670024,0.00968816227671813,2842.30944291707,7669.52538107189,827.986748266382,1027.20663770375,956552.714285715,0.673967554309501,31.7819469056736,85.7585893965081,9.25832721612333,466.635724384089,1259.14317344899,135.934599598409,1.5
Idaho,ID,Idaho ID,16,West,Mountain,1742726,0.6975099278498,0.0474046110483999,0.0512268173569205,0.0112814594950277,0.0105896297170623,2148.98957151038,4857.87783047938,-499.017057185123,3900.41234250249,687313.857142856,0.394390086073689,24.2437388062313,54.803951976346,-5.62964071796188,101.872014784517,230.285809074519,-23.6557095023778,1.2
Illinois,IL,Illinois IL,17,Midwest,East North Central,12700754,0.661572161578217,0.0644661496506004,0.0727396080668853,0.0147542955651907,0.015180704871856,2498.11940298978,5742.50158691366,-738.96793843893,4165.77629958032,7124450.32142856,0.560947036800222,36.8579920288488,84.7265656969006,-10.9029513769276,161.044139278207,370.196966670786,-47.6384177063998,1.2
Indiana,IN,Indiana IN,18,Midwest,East North Central,6655368,0.689151450622572,0.0767675809093662,0.0779162099373305,0.0175583391875828,0.0141742828552001,2407.7030751718,5210.29791290279,-417.745495065036,4730.90293429304,2868972.67857142,0.431076490221341,42.2752672568525,91.4841780231016,-7.33491709643658,184.833540628981,399.981966590666,-32.0693110919284,1.2
Iowa,IA,Iowa IA,19,Midwest,West North Central,3138842,0.642533855238033,0.0637311446199505,0.0646473768013503,0.0109093601301468,0.013932244830197,2372.06906241219,5107.60019140817,-120.362859933695,3221.79326006215,1582824.96428571,0.504270353297717,25.8777556554341,55.7206498888782,-1.31308178531109,151.174676465102,325.513206459521,-7.67086283330518,1.4
Kansas,KS,Kansas KS,20,Midwest,West North Central,2894944,0.700730729945978,0.0760843173649978,0.0715572098804334,0.0131922648307365,0.0203573866918754,1618.28691677628,3904.91145942719,-438.851321476339,4232.58619164999,1385697.71428572,0.47866131928138,21.3488695782287,51.5146261133412,-5.78944285423454,123.126255363631,297.102522761276,-33.3897032192545,1.3
Kentucky,KY,Kentucky KY,21,South,East South Central,4426457,0.768731526800272,0.207319615067645,0.161051987828281,0.0093715828595433,0.0153545143407213,3625.38255765277,6504.38940217876,-59.7430405400979,4926.07292920726,2116364.96428571,0.47811714070321,33.9755730365859,60.9564242332536,-0.559886854702582,751.612916325528,1348.48750710977,-12.3859041677438,1.1
Louisiana,LA,Louisiana LA,22,South,West South Central,4622033,0.692346415747596,0.122799220059228,0.0912445713137516,0.0212876291727424,0.0177254507920737,3663.69084772869,6377.45338469024,422.541336247491,4070.45990368308,1704789.21428571,0.368839689003889,77.9912921700186,135.760862719737,8.99490327619163,449.898378639216,783.146301604046,51.8877465339759,1.5
Maine,ME,Maine ME,23,Northeast,New England,1333140,0.929578702378905,0.0717442657928827,0.0391485319998883,0.0146689019279128,0.00747967706791072,6142.07810132469,10670.6347420376,903.618524686079,3723.3148806577,867328.392857142,0.650590630284248,90.0975413019129,156.526494539529,13.2550915188654,440.658883822083,765.556855111514,64.8294476104506,1.3
